magnitude,placename,time
4.7,"174km WSW of Kuripan, Indonesia",01 Feb 2017 10:34 pm
4.7,"12km N of Batken, Kyrgyzstan",02 Feb 2017 08:36 pm
4.7,"113km SE of Lata, Solomon Islands",03 Feb 2017 06:04 am
4.7,Northern Mid-Atlantic Ridge,03 Feb 2017 06:28 am
4.7,"81km W of Abepura, Indonesia",03 Feb 2017 06:17 pm
4.7,"93km W of Kirakira, Solomon Islands",03 Feb 2017 08:12 pm
4.7,"226km S of `Ohonua, Tonga",04 Feb 2017 10:52 am
4.7,"43km NE of Ndoi Island, Fiji",04 Feb 2017 11:17 am
4.7,"11km NNW of Nehoiu, Romania",08 Feb 2017 07:08 am
4.7,"135km ESE of Visokoi Island, South Georgia and the South Sandwich Islands",08 Feb 2017 01:23 pm
4.7,"152km WSW of Kota Ternate, Indonesia",08 Feb 2017 01:32 pm
4.7,"63km WSW of Tobelo, Indonesia",10 Feb 2017 03:26 pm
4.7,"255km W of Abepura, Indonesia",10 Feb 2017 08:53 pm
4.7,"206km SW of Port Hardy, Canada",11 Feb 2017 07:47 pm
4.7,"132km ESE of Enarotali, Indonesia",12 Feb 2017 08:55 pm
4.7,"1km SSW of Cibeber, Indonesia",13 Feb 2017 12:12 am
4.7,"44km SE of Ndoi Island, Fiji",13 Feb 2017 07:12 am
4.7,"25km S of Binjai, Indonesia",13 Feb 2017 09:11 am
4.7,"5km NNW of Talisay, Philippines",13 Feb 2017 11:14 am
4.7,"18km SSE of Paredon, Mexico",13 Feb 2017 12:41 pm
4.7,"99km W of Murghob, Tajikistan",14 Feb 2017 11:50 pm
4.7,"38km NNW of Hirara, Japan",16 Feb 2017 05:18 pm
4.7,"7km WNW of Mabua, Philippines",17 Feb 2017 01:18 am
4.7,"79km W of Kirakira, Solomon Islands",17 Feb 2017 06:05 am
4.7,"109km WNW of Rota, Northern Mariana Islands",17 Feb 2017 09:45 am
4.7,Central East Pacific Rise,17 Feb 2017 11:31 am
4.7,"7km NNW of Lebu, Chile",18 Feb 2017 08:03 pm
4.7,"12km SSW of Ciheras, Indonesia",19 Feb 2017 07:39 am
4.7,"26km NW of Lebu, Chile",19 Feb 2017 11:07 am
4.7,"73km ESE of Nueva Gorgona, Panama",20 Feb 2017 11:35 am
4.7,"15km WNW of Novobod, Tajikistan",21 Feb 2017 02:24 am
4.7,"36km SSE of Tecoanapa, Mexico",21 Feb 2017 02:40 am
4.7,"39km NE of Hihifo, Tonga",22 Feb 2017 01:02 am
4.7,"42km WNW of Oxford, New Zealand",23 Feb 2017 05:35 am
4.7,Northern Mid-Atlantic Ridge,25 Feb 2017 01:03 am
4.7,"25km W of Hoima, Uganda",25 Feb 2017 09:19 am
4.7,"20km NNE of Ramechhap, Nepal",26 Feb 2017 07:37 pm
4.7,"48km NNE of Palpa, Peru",28 Feb 2017 12:09 am
4.7,"90km NNW of Popondetta, Papua New Guinea",28 Feb 2017 07:52 am
4.7,"167km W of Sabtang, Philippines",01 Mar 2017 05:27 pm
4.66,"24km NW of Waikoloa Village, Hawaii",17 Feb 2017 07:33 am
4.6,"121km SSW of Itoman, Japan",31 Jan 2017 04:00 am
4.6,"94km E of Ishinomaki, Japan",31 Jan 2017 10:43 am
4.6,"18km WNW of Atuncolla, Peru",01 Feb 2017 02:35 am
4.6,"52km SSW of Tinyahuarco, Peru",01 Feb 2017 03:38 am
4.6,"63km S of Kirakira, Solomon Islands",01 Feb 2017 08:16 am
4.6,Southern Mid-Atlantic Ridge,01 Feb 2017 08:46 am
4.6,"28km E of Junlian, China",01 Feb 2017 04:34 pm
4.6,Central East Pacific Rise,03 Feb 2017 11:20 am
4.6,"17km WNW of Puerto Madero, Mexico",03 Feb 2017 12:17 pm
4.6,"114km W of Panguna, Papua New Guinea",03 Feb 2017 03:15 pm
4.6,"63km S of Patea, New Zealand",04 Feb 2017 02:29 am
4.6,"197km S of L'Esperance Rock, New Zealand",04 Feb 2017 04:21 am
4.6,"222km SE of Hotan, China",04 Feb 2017 05:44 am
4.6,"50km SE of Lemito, Indonesia",05 Feb 2017 03:14 am
4.6,"139km N of Calama, Chile",05 Feb 2017 10:58 am
4.6,"23km ENE of Gumdag, Turkmenistan",06 Feb 2017 04:54 am
4.6,"24km E of Artyom, Azerbaijan",06 Feb 2017 05:46 am
4.6,Carlsberg Ridge,06 Feb 2017 05:49 am
4.6,"41km SW of Taron, Papua New Guinea",06 Feb 2017 01:18 pm
4.6,"187km SSW of Nadi, Fiji",06 Feb 2017 02:04 pm
4.6,"184km ENE of Flying Fish Cove, Christmas Island",07 Feb 2017 12:47 am
4.6,"84km ESE of Hihifo, Tonga",07 Feb 2017 03:07 pm
4.6,"176km E of Kuril'sk, Russia",08 Feb 2017 06:07 am
4.6,"83km WSW of Coishco, Peru",09 Feb 2017 09:53 am
4.6,"29km WNW of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",09 Feb 2017 08:49 pm
4.6,"280km SSE of Sigave, Wallis and Futuna",10 Feb 2017 05:01 am
4.6,"119km SSW of Kotaagung, Indonesia",11 Feb 2017 04:14 pm
4.6,"97km WNW of Kuripan, Indonesia",11 Feb 2017 04:20 pm
4.6,"8km NNE of Surigao, Philippines",11 Feb 2017 07:01 pm
4.6,"72km SSW of Tawun, Indonesia",11 Feb 2017 08:25 pm
4.6,"78km W of Merizo Village, Guam",12 Feb 2017 02:57 am
4.6,"22km S of Inarajan Village, Guam",12 Feb 2017 11:53 am
4.6,"184km W of Panguna, Papua New Guinea",12 Feb 2017 03:42 pm
4.6,"6km SSW of Mat-i, Philippines",13 Feb 2017 03:14 am
4.6,South of the Fiji Islands,13 Feb 2017 06:35 am
4.6,"41km S of Shizunai, Japan",13 Feb 2017 11:18 am
4.6,"52km ENE of Kuril'sk, Russia",14 Feb 2017 08:43 am
4.6,"101km ENE of Amahai, Indonesia",14 Feb 2017 10:49 am
4.6,"80km WSW of Mendoza, Argentina",15 Feb 2017 07:51 am
4.6,"9km W of Taron, Papua New Guinea",15 Feb 2017 11:26 am
4.6,"33km S of Moirai, Greece",15 Feb 2017 03:01 pm
4.6,"7km E of El Puerto, Dominican Republic",16 Feb 2017 04:51 am
4.6,"108km NW of Tome, Chile",16 Feb 2017 10:39 am
4.6,"37km N of Isangel, Vanuatu",16 Feb 2017 01:59 pm
4.6,"68km NE of Meulaboh, Indonesia",16 Feb 2017 09:04 pm
4.6,"53km WNW of San Antonio de los Cobres, Argentina",18 Feb 2017 04:43 am
4.6,"21km WNW of Lebu, Chile",19 Feb 2017 01:37 am
4.6,"3km WSW of Davao, Philippines",22 Feb 2017 05:50 pm
4.6,"103km SW of Jiquilillo, Nicaragua",23 Feb 2017 07:16 am
4.6,"104km E of Ile Hunter, New Caledonia",24 Feb 2017 08:17 am
4.6,"194km SW of Vostok, Russia",24 Feb 2017 08:39 pm
4.6,"56km SE of Ofunato, Japan",24 Feb 2017 08:52 pm
4.6,"161km SSE of Taron, Papua New Guinea",25 Feb 2017 05:30 pm
4.6,"34km NE of Iwaki, Japan",26 Feb 2017 06:54 am
4.6,"13km WNW of Ramechhap, Nepal",26 Feb 2017 08:21 pm
4.6,"35km ESE of Namie, Japan",26 Feb 2017 09:19 pm
4.6,"181km SW of Merizo Village, Guam",27 Feb 2017 01:29 am
4.6,"70km WNW of Arawa, Papua New Guinea",27 Feb 2017 03:26 am
4.6,"63km WNW of Arauco, Chile",27 Feb 2017 03:39 am
4.6,"65km S of Aral, China",28 Feb 2017 09:03 am
4.6,"17km NNW of Mithymna, Greece",28 Feb 2017 03:27 pm
4.6,"106km NNE of Kemeduran, Indonesia",01 Mar 2017 02:04 pm
4.6,"101km N of Lae, Papua New Guinea",01 Mar 2017 08:50 pm
4.5,"118km NW of San Jose de Jachal, Argentina",31 Jan 2017 05:06 am
4.5,"120km SE of Lolayan, Indonesia",31 Jan 2017 09:25 am
4.5,"11km N of Ohara, Japan",02 Feb 2017 09:38 am
4.5,"22km ESE of Ambunti, Papua New Guinea",03 Feb 2017 03:49 pm
4.5,South of the Fiji Islands,04 Feb 2017 03:16 am
4.5,"17km ENE of Tanga, Tanzania",05 Feb 2017 01:54 am
4.5,"48km N of Amberley, New Zealand",05 Feb 2017 03:05 am
4.5,"30km NE of Gumdag, Turkmenistan",05 Feb 2017 11:47 am
4.5,"104km NE of Naze, Japan",05 Feb 2017 05:26 pm
4.5,"42km ENE of Ishinomaki, Japan",05 Feb 2017 06:27 pm
4.5,"32km SW of Luring, China",05 Feb 2017 09:24 pm
4.5,"45km SE of Nichinan, Japan",06 Feb 2017 11:21 pm
4.5,"30km NNW of Claveria, Philippines",07 Feb 2017 12:21 am
4.5,"16km WNW of Behram, Turkey",07 Feb 2017 01:00 pm
4.5,"43km ESE of Namie, Japan",07 Feb 2017 04:06 pm
4.5,"14km WNW of Behram, Turkey",07 Feb 2017 05:38 pm
4.5,"162km SSE of Isangel, Vanuatu",08 Feb 2017 05:26 am
4.5,South of the Fiji Islands,08 Feb 2017 09:16 am
4.5,"59km NW of Monywa, Burma",08 Feb 2017 12:46 pm
4.5,"23km NNW of Kabanjahe, Indonesia",09 Feb 2017 10:00 am
